設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F06用)	チェック設問の解答(F08用)	チェック設問の解答(F10用)	F01:ラベル	F02:ラベル	F03:リンクボタン（ＵＲＬ）	F04:ラベル	F05:ラベル	F06:セレクトボックス	F07:ラベル	F08:セレクトボックス	F09:ラベル	F10:セレクトボックス	F11:ラベル
d6evm8	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=d6evm8	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
hnvgfs	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hnvgfs	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
enpdkm	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=enpdkm	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
khyajh	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=khyajh	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
jvmdvv	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=jvmdvv	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
6jv2re	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=6jv2re	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
txmxwc	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=txmxwc	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
ew3cq5	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=ew3cq5	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
9n4zt9	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=9n4zt9	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
hhpuns	0				ページを開き、課題を完了させてください。	課題の最後に、完了コードが表示されます。	https://kana-task.web.app/transfer_comfort.html?prod=1&wid=hhpuns	最後に表示された完了コードを選んでください	完了コード1文字目	0@1@2@3@4@5@6@7@8@9	完了コード2文字目	0@1@2@3@4@5@6@7@8@9	完了コード3文字目	0@1@2@3@4@5@6@7@8@9	
