cut,modality,char,family,mu,lambda,n_trials,n_participants,converged
full_acc_healthy>=50%,visual,ら,reveal,1.0518,0.91799,120,162,True
full_acc_healthy>=50%,visual,ら,wipe,24.78022,0.875,121,162,True
full_acc>=67%,audio,あ,,19.40646,1.0,39,15,True
full_acc>=67%,audio,か,,30.70135,1.0,38,15,True
full_acc>=67%,audio,が,,65.7465,0.25,40,15,True
full_acc>=67%,audio,ぱ,,22.46997,0.61669,41,15,True
full_acc>=67%,audio,し,,26.94255,0.34483,38,15,True
full_acc>=67%,audio,つ,,9.76144,0.5,39,15,True
full_acc>=67%,audio,ま,,50.22683,0.94444,40,15,True
full_acc>=67%,audio,ら,,45.18081,0.63636,40,15,True
full_acc>=67%,visual,あ,blur,44.5456,1.0,120,162,True
full_acc>=67%,visual,あ,fade,1.31654,1.0,120,162,True
full_acc>=67%,visual,あ,reveal,1.18829,0.95743,126,162,True
full_acc>=67%,visual,あ,wipe,23.41955,1.0,120,162,True
full_acc>=67%,visual,か,blur,45.56228,1.0,126,162,True
full_acc>=67%,visual,か,fade,1.39455,0.93467,121,162,True
full_acc>=67%,visual,か,reveal,1.69459,1.0,120,162,True
full_acc>=67%,visual,か,wipe,38.95907,1.0,120,162,True
full_acc>=67%,visual,が,blur,56.54411,1.0,120,162,True
full_acc>=67%,visual,が,fade,1.85762,0.96762,121,162,True
full_acc>=67%,visual,が,reveal,3.33637,0.92597,120,162,True
full_acc>=67%,visual,が,wipe,55.34718,1.0,126,162,True
full_acc>=67%,visual,ぱ,blur,68.84793,1.0,120,162,True
full_acc>=67%,visual,ぱ,fade,2.71828,0.96168,126,162,True
full_acc>=67%,visual,ぱ,reveal,3.51127,0.89914,120,162,True
full_acc>=67%,visual,ぱ,wipe,99.45348,0.93334,120,162,True
full_acc>=67%,visual,し,blur,34.115,1.0,120,162,True
full_acc>=67%,visual,し,fade,1.45557,1.0,121,162,True
full_acc>=67%,visual,し,reveal,1.24485,0.97666,126,162,True
full_acc>=67%,visual,し,wipe,17.2001,1.0,120,162,True
full_acc>=67%,visual,つ,blur,31.37188,1.0,127,162,True
full_acc>=67%,visual,つ,fade,1.58399,1.0,121,162,True
full_acc>=67%,visual,つ,reveal,1.61739,1.0,120,162,True
full_acc>=67%,visual,つ,wipe,30.31764,0.93269,120,162,True
full_acc>=67%,visual,ま,blur,44.5377,1.0,121,162,True
full_acc>=67%,visual,ま,fade,1.43708,0.96278,120,162,True
full_acc>=67%,visual,ま,reveal,2.4149,1.0,120,162,True
full_acc>=67%,visual,ま,wipe,3.96602,0.95238,126,162,True
full_acc>=67%,visual,ら,blur,47.6378,1.0,120,162,True
full_acc>=67%,visual,ら,fade,1.68598,1.0,126,162,True
full_acc>=67%,visual,ら,reveal,1.0518,0.91799,120,162,True
full_acc>=67%,visual,ら,wipe,24.78022,0.875,121,162,True
full_acc_healthy>=67%,audio,あ,,19.66122,0.97546,229,87,True
full_acc_healthy>=67%,audio,か,,33.36427,1.0,229,87,True
full_acc_healthy>=67%,audio,が,,-10.86556,0.00877,228,87,True
full_acc_healthy>=67%,audio,ぱ,,15.09598,0.43293,229,87,True
full_acc_healthy>=67%,audio,し,,23.73077,0.28322,227,87,True
full_acc_healthy>=67%,audio,つ,,1.71985,0.6991,229,87,True
